PLAYER,HIT FAIRWAY PCT
Omar Uresti,76.36
Joe Durant,76.05
Craig Bowden,73.98
Brian Gay,73.86
Tim Clark,73.12
Jim Furyk,72.03
Heath Slocum,71.64
David Toms,71.52
Alex Cejka,71.32
Richard Johnson,70.55
John Mallinger,70.54
Garrett Willis,70.53
Zach Johnson,70.46
Jeff Quinney,70.38
Skip Kendall,70.35
Ben Curtis,70.31
Billy Mayfair,70.1
Ben Crane,70.09
Jerry Kelly,70.02
Paul Goydos,69.8
Chris DiMarco,69.65
Chad Campbell,69.4
Chris Riley,69.3
Justin Leonard,69.13
Jay Williamson,69.11
Tom Gillis,69.04
Scott Verplank,69.03
Rocco Mediate,68.93
Cliff Kresge,68.92
Mark Wilson,68.91
Jason Dufner,68.86
Vaughn Taylor,68.65
Brian Davis,68.1
Brent Delahoussaye,68.01
Ryan Moore,67.97
Aron Price,67.94
Dean Wilson,67.85
Kris Blanks,67.77
Boo Weekley,67.74
Matt Kuchar,67.66
Steve Elkington,67.65
Steve Stricker,67.39
Tim Petrovic,67.38
John Merrick,67.29
Stephen Ames,67.15
Kenny Perry,67.14
Charles Warren,67.11
Hunter Mahan,67.1
Will MacKenzie,67.09
Justin Bolli,67.01
Tom Pernice Jr.,67
Steve Flesch,66.93
Jeff Maggert,66.9
Scott McCarron,66.9
Blake Adams,66.83
Jason Bohn,66.83
Kevin Sutherland,66.73
Woody Austin,66.61
James Nitties,66.52
Kevin Streelman,66.52
Paul Stankowski,66.44
Briny Baird,66.39
Brendon de Jonge,66.19
John Senden,66.08
Chris Couch,65.97
Pat Perez,65.94
Justin Rose,65.94
Spencer Levin,65.93
Retief Goosen,65.89
K.J. Choi,65.8
Kevin Na,65.8
J.J. Henry,65.71
Rod Pampling,65.6
Graham DeLaet,65.48
Mathew Goggin,65.43
Steve Wheatcroft,65.36
John Rollins,65.19
Henrik Bjornstad,65.1
Davis Love III,64.76
Robert Allenby,64.73
Jarrod Lyle,64.56
Kevin Johnson,64.53
Michael Letzig,64.52
Josh Teater,64.52
Charlie Wi,64.52
J.P. Hayes,64.51
Brandt Snedeker,64.47
Y.E. Yang,64.4
Bo Van Pelt,64.37
Brian Stuard,64.23
Nicholas Thompson,64.18
Ryuji Imada,64.12
Mathias Gronberg,64.11
Chris Tidland,63.94
Jeff Gove,63.93
D.A. Points,63.92
Bill Haas,63.9
Trevor Immelman,63.87
Chris Stroud,63.84
Kevin Stadler,63.77
Michael Connell,63.76
Rickie Fowler,63.76
Shaun Micheel,63.71
Stewart Cink,63.62
Lucas Glover,63.6
Johnson Wagner,63.56
Bryce Molder,63.45
Cameron Beckman,63.36
Sean O'Hair,63.34
Freddie Jacobson,63.32
Roger Tambellini,63.18
Ian Poulter,63.01
Steve Lowery,62.94
Michael Sim,62.93
Charley Hoffman,62.89
Andrew McLardy,62.77
Carl Pettersson,62.66
Ted Purdy,62.39
Jerod Turner,62.34
Jonathan Byrd,62.18
Steve Marino,62.11
Greg Owen,61.98
Vijay Singh,61.78
Bill Lunde,61.74
Garth Mulroy,61.7
Nathan Green,61.68
Greg Kraft,61.68
Nick Watney,61.67
Bob Estes,61.65
Jeev Milkha Singh,61.62
Matt Every,61.6
Luke Donald,61.38
Sergio Garcia,61.38
Rory McIlroy,61.3
Paul Casey,61.24
Michael Bradley,61.07
Chad Collins,60.99
D.J. Trahan,60.99
Troy Matteson,60.87
Adam Scott,60.86
Brett Quigley,60.85
Rory Sabbatini,60.82
Webb Simpson,60.73
Roland Thatcher,60.69
Camilo Villegas,60.59
Stuart Appleby,60.35
Martin Laird,60.2
Chris Wilson,60.14
Joe Ogilvie,60.05
Mark Calcavecchia,60.04
Lee Janzen,59.85
Troy Merritt,59.72
Greg Chalmers,59.6
Cameron Tringale,59.32
Cameron Percy,59.16
Ricky Barnes,58.62
Brad Faxon,58.48
Brett Wetterich,58.39
Alex Prugh,58.12
Ernie Els,58.01
Jason Day,57.95
Marc Leishman,57.85
Aaron Baddeley,57.78
Matt Bettencourt,57.76
James Driscoll,57.76
Vance Veazey,57.71
Matt Jones,57.38
Geoff Ogilvy,57.18
David Lutterus,56.98
David Duval,56.97
Robert Garrigus,56.65
Andres Romero,56.58
Ryan Palmer,56.53
Bubba Watson,56.38
Scott Piercy,56.25
Padraig Harrington,56
Jeff Overton,55.36
Derek Lamely,55.33
J.B. Holmes,55.22
Brenden Pappas,55.2
Dustin Johnson,55.17
Rich Barcelo,55.13
Tim Herron,55.12
Charles Howell III,54.97
George McNeill,54.54
John Daly,53.77
Angel Cabrera,52.92
Mike Weir,52.57
Daniel Chopra,52.48
Jimmy Walker,52.13
Phil Mickelson,51.87
Martin Flores,49.02