PLAYER,ROUGH TENDENCY
Joe Durant,18.91
Ben Curtis,20.12
Heath Slocum,20.16
Steve Elkington,20.58
Brian Gay,21.21
Jerry Kelly,21.5
Nick O'Hern,21.52
Chris Riley,21.66
Brian Davis,22.5
Zach Johnson,22.56
Ben Crane,22.57
David Toms,22.71
Rod Pampling,23.35
Aron Price,23.45
Justin Hicks,23.49
Ian Poulter,23.49
Paul Goydos,23.54
Billy Mayfair,23.79
Graeme McDowell,23.84
Rocco Mediate,23.85
Mark Wilson,23.86
Billy Horschel,24.04
Adam Scott,24.29
Chris DiMarco,24.38
Bryce Molder,24.46
Jim Furyk,24.51
Alex Cejka,24.53
John Senden,24.58
Michael Connell,24.6
Brendan Steele,24.72
John Rollins,24.75
Shane Bertsch,24.79
Briny Baird,24.85
Chad Campbell,25.02
John Merrick,25.06
Woody Austin,25.07
Jason Bohn,25.11
Chris Couch,25.11
Kent Jones,25.13
David Mathis,25.18
Blake Adams,25.24
Stephen Ames,25.3
Rich Beem,25.4
Garrett Willis,25.51
Luke Donald,25.59
J.P. Hayes,25.6
Chez Reavie,25.68
Ben Martin,25.72
Colt Knost,25.89
Justin Leonard,25.95
Brandt Jobe,25.96
J.J. Henry,26.09
Boo Weekley,26.14
Tim Petrovic,26.21
Jason Dufner,26.5
Brendon de Jonge,26.53
D.A. Points,26.54
Hunter Mahan,26.6
Kris Blanks,26.67
Kevin Stadler,26.72
Andres Gonzales,26.78
Davis Love III,26.81
Kevin Streelman,27.02
Johnson Wagner,27.03
Hunter Haas,27.16
Justin Rose,27.22
Vaughn Taylor,27.24
Robert Allenby,27.42
Bill Haas,27.56
Matt McQuillan,27.59
Bo Van Pelt,27.6
Matt Kuchar,27.65
Daniel Summerhays,27.7
Josh Teater,27.99
Richard Johnson,28.02
Dean Wilson,28.04
Pat Perez,28.13
Brandt Snedeker,28.17
Tom Gillis,28.18
Freddie Jacobson,28.22
Charley Hoffman,28.46
David Hearn,28.49
Will Strickler,28.52
Ryan Moore,28.55
Alexandre Rocha,28.55
Scott McCarron,28.57
Nate Smith,28.57
Troy Merritt,28.61
Cameron Tringale,28.68
Webb Simpson,28.75
Carl Pettersson,28.77
Lucas Glover,28.79
Cameron Beckman,28.8
Spencer Levin,28.9
Trevor Immelman,28.96
Marc Turnesa,28.96
K.J. Choi,29.07
Y.E. Yang,29.07
Lee Janzen,29.09
Geoff Ogilvy,29.26
Michael Thompson,29.28
Charlie Wi,29.31
Sung Kang,29.36
Fabian Gomez,29.39
Steve Stricker,29.46
Andres Romero,29.47
Jeff Overton,29.52
Greg Chalmers,29.53
Steve Flesch,29.56
Kyle Stanley,29.57
Ernie Els,29.61
Bill Lunde,29.68
Steve Marino,29.79
William McGirt,29.82
Sergio Garcia,30
Roland Thatcher,30.07
Tommy Gainey,30.1
Keegan Bradley,30.15
Vijay Singh,30.18
Jonathan Byrd,30.26
Stewart Cink,30.37
Jim Renner,30.41
Retief Goosen,30.42
Kevin Kisner,30.42
Ryuji Imada,30.43
Martin Laird,30.5
Ricky Barnes,30.53
Scott Gutschewski,30.58
Nick Watney,30.62
Joseph Bramlett,30.7
Kevin Chappell,30.71
Troy Matteson,30.72
Jarrod Lyle,30.74
Charl Schwartzel,30.76
Camilo Villegas,30.87
Rory Sabbatini,30.98
Bobby Gates,31
James Driscoll,31.1
D.J. Trahan,31.12
Matt Bettencourt,31.41
Chris Stroud,31.41
Rickie Fowler,31.48
Phil Mickelson,31.51
George McNeill,31.53
Charles Howell III,31.57
Nathan Green,31.58
Ryan Palmer,31.62
Arjun Atwal,31.63
Martin Piller,31.7
Paul Stankowski,31.7
Alex Prugh,31.76
Bubba Watson,31.76
Stuart Appleby,31.92
Shaun Micheel,31.94
Tim Herron,32.02
Chris Kirk,32.17
Sean O'Hair,32.25
D.J. Brigman,32.5
Angel Cabrera,32.51
Scott Stallings,32.52
Michael Bradley,32.67
Kevin Na,32.72
Bio Kim,32.78
Jim Herman,32.83
Dustin Johnson,32.84
Joe Ogilvie,32.9
Zack Miller,33.01
Marc Leishman,33.03
Padraig Harrington,33.17
Matt Jones,33.26
Tag Ridings,33.27
Steven Bowditch,33.81
Robert Karlsson,33.82
Gary Woodland,33.82
Scott Piercy,33.91
J.B. Holmes,34.01
Aaron Baddeley,34.12
David Duval,34.6
Michael Putnam,35.13
Jason Day,35.54
Robert Garrigus,35.59
Jhonattan Vegas,36.13
Jimmy Walker,36.32
Harrison Frazar,36.41
Derek Lamely,36.84
Anthony Kim,37.28