PLAYER,scrambling
Greg Chalmers,65.17
Steve Stricker,64.93
Jason Day,64.64
Zach Johnson,63.98
Woody Austin,63.92
Charles Howell III,63.92
Brian Gay,63.78
Luke Donald,63.71
Kevin Na,63.5
Rod Pampling,63.1
Mark Wilson,62.97
Nick Watney,62.96
Matt Kuchar,62.91
Jerry Kelly,62.55
Bryce Molder,62.5
Webb Simpson,62.22
Phil Mickelson,62.01
Justin Leonard,61.97
Dean Wilson,61.63
Chris Riley,61.62
Ben Curtis,61.58
Brandt Snedeker,61.45
Ben Crane,61.31
Y.E. Yang,61.31
David Toms,61.21
Nathan Green,60.92
K.J. Choi,60.87
Chris Couch,60.87
Billy Mayfair,60.87
Michael Connell,60.81
David Mathis,60.81
Michael Thompson,60.75
Blake Adams,60.63
Freddie Jacobson,60.62
Stephen Ames,60.59
Scott McCarron,60.56
Kevin Streelman,60.5
Tim Petrovic,60.49
Chris DiMarco,60.47
Robert Karlsson,60.41
Spencer Levin,60.35
Brendon de Jonge,60.33
Steve Elkington,60.26
Sergio Garcia,60.16
Ryan Moore,60.08
Briny Baird,60
Ryan Palmer,59.96
Hunter Haas,59.93
Padraig Harrington,59.84
Charl Schwartzel,59.77
William McGirt,59.75
Geoff Ogilvy,59.68
David Hearn,59.47
Jimmy Walker,59.45
Aaron Baddeley,59.44
Paul Stankowski,59.42
Shane Bertsch,59.33
Nick O'Hern,59.22
Joe Durant,59.1
Tim Herron,59.08
Martin Laird,59.08
Brian Davis,59
Adam Scott,59
Charlie Wi,58.93
Ryuji Imada,58.8
Robert Allenby,58.76
Brandt Jobe,58.72
Bo Van Pelt,58.69
Shaun Micheel,58.64
Jason Dufner,58.62
Marc Leishman,58.53
Kevin Chappell,58.46
Carl Pettersson,58.46
Vaughn Taylor,58.46
Anthony Kim,58.45
Jim Furyk,58.37
D.A. Points,58.36
Pat Perez,58.35
Bill Haas,58.3
J.P. Hayes,58.29
Retief Goosen,58.28
D.J. Trahan,58.27
Jason Bohn,58.25
Rory Sabbatini,58.23
Jim Renner,58.22
Gary Woodland,58.2
Michael Putnam,58.17
Garrett Willis,58.14
Trevor Immelman,58.09
Nate Smith,58.07
John Merrick,58.03
Hunter Mahan,58
Roland Thatcher,58
Kris Blanks,57.94
Justin Rose,57.92
Johnson Wagner,57.8
Steve Marino,57.69
Cameron Tringale,57.69
Chris Kirk,57.66
Scott Piercy,57.58
Matt McQuillan,57.57
Chad Campbell,57.54
Chris Stroud,57.31
Jarrod Lyle,57.3
Vijay Singh,57.23
Jonathan Byrd,57.2
Stewart Cink,57.08
Steve Flesch,57
Joe Ogilvie,56.98
Matt Jones,56.96
Alex Cejka,56.94
James Driscoll,56.91
Cameron Beckman,56.76
Bill Lunde,56.7
Scott Gutschewski,56.68
Sung Kang,56.68
Ricky Barnes,56.6
Jim Herman,56.53
Joseph Bramlett,56.51
Andres Romero,56.48
Troy Merritt,56.35
Ian Poulter,56.33
John Rollins,56.28
George McNeill,56.23
Keegan Bradley,56.18
J.J. Henry,56.03
Camilo Villegas,55.99
Stuart Appleby,55.9
Tom Gillis,55.86
Paul Goydos,55.79
Arjun Atwal,55.65
Troy Matteson,55.58
Tommy Gainey,55.39
Tag Ridings,55.37
Colt Knost,55.34
Alexandre Rocha,55.21
Aron Price,55.19
Daniel Summerhays,55.07
Rickie Fowler,55.02
Chez Reavie,55
Matt Bettencourt,54.97
Bio Kim,54.85
Kevin Kisner,54.85
Lee Janzen,54.84
John Senden,54.77
Sean O'Hair,54.74
Jeff Overton,54.73
Jhonattan Vegas,54.66
Heath Slocum,54.53
Brendan Steele,54.53
Kent Jones,54.5
Josh Teater,54.45
Zack Miller,54.26
Will Strickler,54.21
Richard Johnson,54.19
Kyle Stanley,54.17
Harrison Frazar,54.08
J.B. Holmes,54.06
Billy Horschel,54.03
Graeme McDowell,54.01
Davis Love III,54
Lucas Glover,53.74
Charley Hoffman,53.64
Robert Garrigus,53.56
Scott Stallings,53.52
D.J. Brigman,53.49
Ben Martin,52.93
Rich Beem,52.89
Andres Gonzales,52.85
Boo Weekley,52.85
Marc Turnesa,52.8
David Duval,52.66
Martin Piller,52.66
Kevin Stadler,52.39
Steven Bowditch,52.33
Angel Cabrera,52.17
Fabian Gomez,52.1
Rocco Mediate,51.8
Michael Bradley,51.72
Bobby Gates,51.49
Dustin Johnson,51.24
Ernie Els,51.07
Derek Lamely,50.83
Bubba Watson,50.82
Justin Hicks,50.47
Alex Prugh,47.91