PLAYER NAME,BOUNCE BACK
Robert Garrigus,26.64
John Merrick,26.22
Keegan Bradley,26.09
Brandt Snedeker,25.85
Graeme McDowell,25.75
Daniel Summerhays,25.45
Camilo Villegas,25.12
Louis Oosthuizen,24.86
Luke Donald,24.68
Ryan Palmer,24.57
Bryce Molder,24.4
Matt Jones,24.14
Charley Hoffman,24.08
Robert Karlsson,24.04
Blake Adams,23.96
Tom Gillis,23.91
Richard Lee,23.91
Vaughn Taylor,23.77
Martin Laird,23.45
Jonas Blixt,23.24
Ben Crane,23.22
Ben Curtis,23.03
Zach Johnson,22.98
Jason Dufner,22.92
John Senden,22.89
Chad Campbell,22.71
Sean O'Hair,22.65
Davis Love III,22.61
Bob Estes,22.58
Jonathan Byrd,22.44
Adam Scott,22.42
Pat Perez,22.38
Mark Anderson,22.36
Jim Furyk,22.35
Garth Mulroy,22.34
Cameron Beckman,22.26
John Huh,22.26
Jeff Overton,22.18
Charl Schwartzel,22.15
Scott Piercy,22.1
Harris English,22.03
Jerry Kelly,21.98
Chris Couch,21.97
Webb Simpson,21.94
Danny Lee,21.89
Jason Day,21.79
Jimmy Walker,21.75
Greg Chalmers,21.72
William McGirt,21.57
Brendon de Jonge,21.55
John Daly,21.52
Ian Poulter,21.48
Padraig Harrington,21.43
Lee Westwood,21.39
Bobby Gates,21.35
Kevin Chappell,21.32
Sangmoon Bae,21.25
Rory McIlroy,21.23
Phil Mickelson,21.05
Brendon Todd,21.05
Greg Owen,21.03
J.B. Holmes,20.91
Gavin Coles,20.9
Freddie Jacobson,20.86
Vijay Singh,20.79
Erik Compton,20.78
Billy Mayfair,20.76
Bo Van Pelt,20.75
Charles Howell III,20.71
D.A. Points,20.7
Ernie Els,20.67
Charlie Wi,20.53
Dicky Pride,20.51
Rickie Fowler,20.48
David Hearn,20.48
Kevin Na,20.37
Kevin Stadler,20.37
Troy Matteson,20.33
Y.E. Yang,20.3
Ryan Moore,20.23
Hunter Haas,20.19
Cameron Tringale,20.16
Dustin Johnson,20.11
Alexandre Rocha,20.11
Matt Kuchar,20.1
Ken Duke,20.07
James Driscoll,20
Jason Kokrak,20
Edward Loar,20
George McNeill,19.92
Kyle Stanley,19.92
Steve Stricker,19.88
Matt Every,19.82
Hunter Mahan,19.82
Seung-Yul Noh,19.71
Derek Lamely,19.61
Nick O'Hern,19.55
Charlie Beljan,19.53
Chris Kirk,19.52
Sergio Garcia,19.46
Bill Lunde,19.44
Patrick Sheehan,19.43
Roberto Castro,19.42
Chris DiMarco,19.39
Ricky Barnes,19.34
Billy Horschel,19.33
Carl Pettersson,19.33
Nick Watney,19.3
Troy Kelly,19.29
Tommy Biershenk,19.22
Kris Blanks,19.21
Chris Stroud,19.21
Mark Wilson,19.21
Miguel Angel Carballo,19.05
Jason Bohn,18.99
Aaron Baddeley,18.97
Tiger Woods,18.9
Daniel Chopra,18.89
Brandt Jobe,18.79
Will Claxton,18.77
Henrik Stenson,18.75
Bubba Watson,18.71
Geoff Ogilvy,18.65
Michael Thompson,18.6
Heath Slocum,18.52
Graham DeLaet,18.26
Russell Knox,18.18
Josh Teater,18.18
Mathew Goggin,18.13
Nathan Green,18.13
Jhonattan Vegas,18.08
Trevor Immelman,18.07
Rory Sabbatini,17.97
Martin Flores,17.94
Bud Cauley,17.93
Brian Gay,17.84
Kevin Kisner,17.84
Johnson Wagner,17.83
Kevin Streelman,17.81
Robert Allenby,17.72
David Mathis,17.7
Arjun Atwal,17.67
K.J. Choi,17.62
D.J. Trahan,17.62
Andres Romero,17.57
Brian Davis,17.51
Tommy Gainey,17.48
"Ted Potter, Jr.",17.48
Boo Weekley,17.48
Bill Haas,17.45
Angel Cabrera,17.39
Scott Stallings,17.32
Gary Woodland,17.3
Kyle Reifers,17.21
Rocco Mediate,17.2
Marco Dawson,17.02
Tim Herron,16.94
Ryuji Imada,16.87
Billy Hurley III,16.81
Jeff Maggert,16.81
David Toms,16.77
Steve Wheatcroft,16.77
Colt Knost,16.73
Scott Brown,16.67
Spencer Levin,16.6
Stuart Appleby,16.49
John Mallinger,16.49
Rod Pampling,16.47
Chez Reavie,16.47
Harrison Frazar,16.4
Sung Kang,16.3
John Rollins,16.3
Kyle Thompson,16.3
Matt Bettencourt,16.01
Brian Harman,15.97
Justin Rose,15.95
Stephen Gangluff,15.84
Gary Christian,15.71
Roland Thatcher,15.7
Scott Dunlap,15.43
J.J. Henry,15.32
Stewart Cink,15.18
Brendan Steele,15.15
Ryo Ishikawa,14.77
Justin Leonard,14.75
Tim Clark,14.71
Stephen Ames,14.45
J.J. Killeen,14.04
Michael Bradley,13.57
Marc Leishman,12.78
Tom Pernice Jr.,12.17