PLAYER,PAR 4
Rory McIlroy,3.94
Sergio Garcia,3.96
Matt Kuchar,3.97
Adam Scott,3.97
Jim Furyk,3.98
Charles Howell III,3.99
Jerry Kelly,3.99
Ryan Palmer,3.99
Robert Streb,3.99
David Toms,3.99
Bubba Watson,3.99
Charley Hoffman,4
Jimmy Walker,4
Keegan Bradley,4.01
Graham DeLaet,4.01
Russell Knox,4.01
Graeme McDowell,4.01
Ryan Moore,4.01
Kevin Na,4.01
Jeff Overton,4.01
Justin Rose,4.01
Chris Stroud,4.01
Gary Woodland,4.01
Chad Campbell,4.02
Kevin Chappell,4.02
Harris English,4.02
Bill Haas,4.02
Dustin Johnson,4.02
Chris Kirk,4.02
Brooks Koepka,4.02
Jason Kokrak,4.02
Ben Martin,4.02
Hideki Matsuyama,4.02
William McGirt,4.02
George McNeill,4.02
Phil Mickelson,4.02
Carl Pettersson,4.02
Webb Simpson,4.02
Jordan Spieth,4.02
Andrew Svoboda,4.02
Stuart Appleby,4.03
Ben Crane,4.03
Jason Day,4.03
Rickie Fowler,4.03
Brian Harman,4.03
Zach Johnson,4.03
Kevin Kisner,4.03
Danny Lee,4.03
Hunter Mahan,4.03
Brendan Steele,4.03
Henrik Stenson,4.03
Brian Stuard,4.03
Daniel Summerhays,4.03
Brendon Todd,4.03
Camilo Villegas,4.03
Ricky Barnes,4.04
Paul Casey,4.04
Bud Cauley,4.04
Erik Compton,4.04
Brian Gay,4.04
Luke Guthrie,4.04
David Hearn,4.04
Justin Hicks,4.04
Billy Horschel,4.04
Freddie Jacobson,4.04
Scott Langley,4.04
Marc Leishman,4.04
Andrew Loupe,4.04
Seung-Yul Noh,4.04
Patrick Reed,4.04
Andres Romero,4.04
Charl Schwartzel,4.04
Sangmoon Bae,4.05
Scott Brown,4.05
Jonathan Byrd,4.05
Brad Fritsch,4.05
Robert Garrigus,4.05
J.J. Henry,4.05
J.B. Holmes,4.05
Billy Hurley III,4.05
Martin Kaymer,4.05
Will MacKenzie,4.05
Bryce Molder,4.05
John Senden,4.05
Heath Slocum,4.05
Brandt Snedeker,4.05
Michael Thompson,4.05
Cameron Tringale,4.05
Bo Van Pelt,4.05
Boo Weekley,4.05
Lee Westwood,4.05
Robert Allenby,4.06
Jonas Blixt,4.06
Jason Bohn,4.06
Angel Cabrera,4.06
Greg Chalmers,4.06
Stewart Cink,4.06
Tim Clark,4.06
Brendon de Jonge,4.06
Ernie Els,4.06
Martin Flores,4.06
Brice Garnett,4.06
Retief Goosen,4.06
Morgan Hoffmann,4.06
Spencer Levin,4.06
"Ted Potter, Jr.",4.06
Ian Poulter,4.06
Michael Putnam,4.06
Vijay Singh,4.06
Kevin Stadler,4.06
Shawn Stefani,4.06
Kevin Streelman,4.06
Jhonattan Vegas,4.06
Nick Watney,4.06
Charlie Wi,4.06
Will Wilcox,4.06
Tim Wilkinson,4.06
Charlie Beljan,4.07
Jason Dufner,4.07
Ken Duke,4.07
Chesson Hadley,4.07
Russell Henley,4.07
Jim Herman,4.07
Bronson La'Cassie,4.07
Martin Laird,4.07
David Lingmerth,4.07
Davis Love III,4.07
Pat Perez,4.07
Aaron Baddeley,4.08
K.J. Choi,4.08
Chad Collins,4.08
Ben Curtis,4.08
Brian Davis,4.08
Gonzalo Fdez-Castano,4.08
James Hahn,4.08
Trevor Immelman,4.08
Matt Jones,4.08
Jamie Lovemark,4.08
John Merrick,4.08
Geoff Ogilvy,4.08
Louis Oosthuizen,4.08
Hudson Swafford,4.08
Steven Bowditch,4.09
Luke Donald,4.09
Matt Every,4.09
Tommy Gainey,4.09
John Huh,4.09
Ryo Ishikawa,4.09
Justin Leonard,4.09
Jeff Maggert,4.09
Troy Merritt,4.09
Sean O'Hair,4.09
John Peterson,4.09
Wes Roach,4.09
John Rollins,4.09
Rory Sabbatini,4.09
Josh Teater,4.09
Tyrone Van Aswegen,4.09
Johnson Wagner,4.09
Mark Wilson,4.09
James Driscoll,4.1
Richard Lee,4.1
Nicholas Thompson,4.11
Y.E. Yang,4.11
Briny Baird,4.12
Roberto Castro,4.12
Lucas Glover,4.12
D.A. Points,4.12
Scott Stallings,4.12
Kyle Stanley,4.12
Kevin Tway,4.12
Mike Weir,4.12
Woody Austin,4.13
Troy Matteson,4.13
Derek Ernst,4.14
D.H. Lee,4.14
Jim Renner,4.14