PLAYER,Putts per round
Justin Leonard,27.773
Jordan Spieth,27.857
Aaron Baddeley,28.153
Greg Chalmers,28.16
Brian Gay,28.165
Brendon Todd,28.324
Charl Schwartzel,28.339
J.B. Holmes,28.349
Chris Stroud,28.352
Richard H. Lee,28.372
Fredrik Jacobson,28.385
Mike Weir,28.4
Chad Collins,28.405
Stuart Appleby,28.422
Chris Kirk,28.442
Rickie Fowler,28.459
Kevin Na,28.457
Luke Guthrie,28.494
Morgan Hoffmann,28.525
Andres Romero,28.532
Brian Stuard,28.54
Jerry Kelly,28.55
Tim Wilkinson,28.549
Graeme McDowell,28.565
Charlie Wi,28.571
Phil Mickelson,28.577
Brian Davis,28.591
Luke Donald,28.589
Sergio Garcia,28.586
Rory McIlroy,28.594
Ian Poulter,28.643
Brian Harman,28.649
Ernie Els,28.684
Jason Day,28.708
William McGirt,28.708
Gonzalo Fernandez-Castano,28.72
Scott Langley,28.72
Ryan Palmer,28.729
Jimmy Walker,28.729
Dustin Johnson,28.737
Matt Kuchar,28.739
Brandt Snedeker,28.736
Matt Jones,28.747
Patrick Reed,28.756
Adam Scott,28.765
Jonas Blixt,28.774
Pat Perez,28.774
Scott Brown,28.78
Erik Compton,28.784
Ben Crane,28.778
Kevin Kisner,28.776
Ryo Ishikawa,28.787
Andrew Loupe,28.787
Bryce Molder,28.795
Jason Kokrak,28.8
K.J. Choi,28.813
Tim Clark,28.813
Matt Every,28.824
Ricky Barnes,28.83
Webb Simpson,28.833
Jason Bohn,28.84
Justin Rose,28.853
James Driscoll,28.859
Jeff Overton,28.868
Sang-Moon Bae,28.882
Keegan Bradley,28.875
Brad Fritsch,28.875
Hideki Matsuyama,28.875
Zach Johnson,28.896
George McNeill,28.899
Wes Roach,28.905
Robert Streb,28.901
Russell Henley,28.924
David Lingmerth,28.934
Ben Martin,28.925
Ben Curtis,28.945
Brooks Koepka,28.946
Lee Westwood,28.946
Jim Furyk,28.963
Marc Leishman,28.963
Charley Hoffman,28.968
Bubba Watson,28.986
Paul Casey,29
Robert Garrigus,29
Chesson Hadley,29
Martin Kaymer,29
Kevin Streelman,29
Tyrone Van Aswegen,29.013
David Hearn,29.021
Will MacKenzie,29.024
Brice Garnett,29.045
Ryan Moore,29.048
Sean O'Hair,29.065
Y.E. Yang,29.064
Brendon de Jonge,29.064
Retief Goosen,29.089
Michael Thompson,29.095
Jonathan Byrd,29.097
Gary Woodland,29.098
Kevin Chappell,29.115
Charles Howell III,29.113
Roberto Castro,29.122
Bronson La'Cassie,29.128
Woody Austin,29.136
D.H. Lee,29.14
Steven Bowditch,29.151
Danny Lee,29.163
Daniel Summerhays,29.163
Cameron Tringale,29.161
Spencer Levin,29.169
John Senden,29.172
Troy Merritt,29.177
Seung-yul Noh,29.196
Camilo Villegas,29.211
Russell Knox,29.239
Brendan Steele,29.235
Harris English,29.283
David Toms,29.29
Johnson Wagner,29.292
Tommy Gainey,29.304
Shawn Stefani,29.3
"Ted Potter, Jr.",29.309
Bill Haas,29.333
Hunter Mahan,29.329
Billy Hurley III,29.384
Scott Stallings,29.382
Angel Cabrera,29.391
Bud Cauley,29.393
John Huh,29.434
Troy Matteson,29.431
Geoff Ogilvy,29.425
Carl Pettersson,29.44
Jamie Lovemark,29.483
Stewart Cink,29.516
Rory Sabbatini,29.526
Ken Duke,29.538
Vijay Singh,29.542
Martin Flores,29.565
Briny Baird,29.58
Josh Teater,29.591
Will Wilcox,29.592
Bo Van Pelt,29.602
Davis Love III,29.625
Charlie Beljan,29.639
James Hahn,29.65
Jason Dufner,29.667
Nick Watney,29.693
Trevor Immelman,29.7
Andrew Svoboda,29.701
Heath Slocum,29.71
Jim Herman,29.741
Graham DeLaet,29.747
Martin Laird,29.758
Michael Putnam,29.765
Kevin Stadler,29.764
Mark Wilson,29.769
Jim Renner,29.814
D.A. Points,29.822
Robert Allenby,29.852
Billy Horschel,29.856
Henrik Stenson,29.889
John Peterson,29.9
Derek Ernst,29.921
Jeff Maggert,29.981
Louis Oosthuizen,29.978
John Rollins,30.063
Justin Hicks,30.091
John Merrick,30.12
Jhonattan Vegas,30.133
Kevin Tway,30.15
Hudson Swafford,30.183
Chad Campbell,30.245
J.J. Henry,30.333
Nicholas Thompson,30.333
Kyle Stanley,30.361
Boo Weekley,30.556
Lucas Glover,30.848