PLAYER,Strokes gained tee to green
Rory McIlroy,1.992
Sergio Garcia,1.818
Jim Furyk,1.705
Hideki Matsuyama,1.545
Justin Rose,1.506
Adam Scott,1.5
Bubba Watson,1.402
Charl Schwartzel,1.286
Graham DeLaet,1.262
Dustin Johnson,1.249
Henrik Stenson,1.162
Matt Kuchar,1.117
Jason Dufner,1.098
Jason Day,1.073
Gary Woodland,1.049
Ryan Palmer,0.971
Kevin Chappell,0.97
Bill Haas,0.943
Russell Knox,0.938
Kevin Stadler,0.878
Boo Weekley,0.875
Brooks Koepka,0.797
Ryan Moore,0.794
Jimmy Walker,0.774
Marc Leishman,0.766
Zach Johnson,0.751
Keegan Bradley,0.74
Paul Casey,0.725
Charles Howell III,0.717
Chad Campbell,0.709
Harris English,0.706
Charley Hoffman,0.691
Nick Watney,0.687
Jason Kokrak,0.686
Ernie Els,0.654
Kevin Na,0.638
Phil Mickelson,0.634
Jordan Spieth,0.581
Webb Simpson,0.58
Shawn Stefani,0.564
Cameron Tringale,0.56
Vijay Singh,0.554
Kyle Stanley,0.552
Will Wilcox,0.552
Lucas Glover,0.539
George McNeill,0.528
Billy Horschel,0.518
Michael Putnam,0.517
Lee Westwood,0.495
Chris Kirk,0.489
Rickie Fowler,0.48
J.B. Holmes,0.476
Bo Van Pelt,0.431
Seung-Yul Noh,0.427
David Toms,0.405
Brian Harman,0.403
Steven Bowditch,0.399
Brendan Steele,0.398
Carl Pettersson,0.397
Robert Garrigus,0.382
Andrew Svoboda,0.37
Martin Flores,0.362
Martin Kaymer,0.355
John Peterson,0.34
John Senden,0.328
Heath Slocum,0.327
Robert Streb,0.319
Brandt Snedeker,0.318
Camilo Villegas,0.316
Hunter Mahan,0.314
Jhonattan Vegas,0.314
Graeme McDowell,0.289
Jerry Kelly,0.288
Bud Cauley,0.284
Billy Hurley III,0.27
Robert Allenby,0.269
Brendon de Jonge,0.256
Stewart Cink,0.243
Chris Stroud,0.236
Jamie Lovemark,0.235
Ryo Ishikawa,0.231
Ken Duke,0.23
Louis Oosthuizen,0.212
Angel Cabrera,0.198
Daniel Summerhays,0.184
Luke Donald,0.173
Trevor Immelman,0.157
Ricky Barnes,0.145
David Hearn,0.136
Scott Brown,0.134
Ben Martin,0.13
Brendon Todd,0.129
"Ted Potter, Jr.",0.125
Brad Fritsch,0.11
Luke Guthrie,0.109
Nicholas Thompson,0.105
Roberto Castro,0.084
Patrick Reed,0.081
Josh Teater,0.076
James Hahn,0.07
Will MacKenzie,0.07
Kevin Streelman,0.068
Tim Clark,0.061
John Merrick,0.051
Jeff Overton,0.044
Brian Stuard,0.042
Martin Laird,0.038
Scott Langley,0.016
Kevin Kisner,0.009
Justin Hicks,-0.003
John Huh,-0.01
Retief Goosen,-0.024
Jonathan Byrd,-0.027
Matt Jones,-0.029
J.J. Henry,-0.032
Geoff Ogilvy,-0.032
K.J. Choi,-0.039
Davis Love III,-0.056
Charlie Beljan,-0.058
Tim Wilkinson,-0.078
Brian Davis,-0.085
Gonzalo Fdez-Castano,-0.092
Jeff Maggert,-0.096
Ian Poulter,-0.106
Hudson Swafford,-0.116
Danny Lee,-0.123
Troy Merritt,-0.123
Stuart Appleby,-0.126
Chesson Hadley,-0.18
Sangmoon Bae,-0.202
Andres Romero,-0.207
David Lingmerth,-0.22
Jim Renner,-0.221
Charlie Wi,-0.221
Spencer Levin,-0.23
William McGirt,-0.235
Matt Every,-0.236
Rory Sabbatini,-0.245
Jason Bohn,-0.253
Brice Garnett,-0.255
Pat Perez,-0.255
Erik Compton,-0.259
Tyrone Van Aswegen,-0.263
Mark Wilson,-0.265
Ben Crane,-0.29
Freddie Jacobson,-0.293
Michael Thompson,-0.317
Sean O'Hair,-0.327
Scott Stallings,-0.369
John Rollins,-0.395
Briny Baird,-0.419
Bronson La'Cassie,-0.431
Russell Henley,-0.438
Y.E. Yang,-0.463
Morgan Hoffmann,-0.472
Bryce Molder,-0.482
Andrew Loupe,-0.485
Jim Herman,-0.488
Jonas Blixt,-0.512
Tommy Gainey,-0.54
Wes Roach,-0.554
Ben Curtis,-0.616
Johnson Wagner,-0.616
Justin Leonard,-0.677
Kevin Tway,-0.677
Woody Austin,-0.696
Brian Gay,-0.733
D.A. Points,-0.753
Derek Ernst,-0.798
D.H. Lee,-0.82
Aaron Baddeley,-0.828
Richard Lee,-0.878
Mike Weir,-0.882
Chad Collins,-0.884
Troy Matteson,-0.914
James Driscoll,-0.958
Greg Chalmers,-0.989