PLAYER,TOTAL
Graeme McDowell,28.2
Greg Chalmers,49.1
Brendon Todd,54.2
Freddie Jacobson,55.3
Jimmy Walker,62.6
Matt Kuchar,71.2
John Senden,78.4
Russell Henley,84.3
Luke Donald,86.4
Aaron Baddeley,87.8
Rory McIlroy,90.1
David Hearn,93.3
William McGirt,95.1
Justin Leonard,96.3
Rickie Fowler,98.6
Jason Day,106.9
Chris Stroud,108.6
Ryan Palmer,112.8
Matt Every,112.9
Brian Stuard,116.1
Charley Hoffman,117.5
Morgan Hoffmann,119.5
Stuart Appleby,119.6
Paul Casey,122.4
Chad Collins,124.1
Keegan Bradley,124.3
Ben Crane,125
Phil Mickelson,125.8
Kevin Kisner,127.4
Erik Compton,127.8
Patrick Reed,130.8
Retief Goosen,131.3
Ben Martin,131.8
Sangmoon Bae,132.8
Jason Kokrak,133.8
Kevin Na,133.8
Andres Romero,134.3
K.J. Choi,134.8
Jonas Blixt,135
Bryce Molder,135.8
Richard Lee,136.8
Brice Garnett,138.2
Daniel Summerhays,138.3
Scott Brown,138.5
Jerry Kelly,139.2
Chris Kirk,140.7
Jason Bohn,142.4
Matt Jones,143.2
Michael Thompson,144.8
Billy Horschel,147.3
Hunter Mahan,147.3
Ian Poulter,149.6
Cameron Tringale,149.7
Sean O'Hair,150.8
Brandt Snedeker,151
Adam Scott,152.3
Jordan Spieth,152.4
Sergio Garcia,153.7
Brian Davis,155.3
Billy Hurley III,161.1
Ben Curtis,162
Scott Langley,162.2
Tim Clark,163.2
Zach Johnson,163.4
Pat Perez,163.9
George McNeill,165.1
Justin Hicks,166.8
James Driscoll,167.3
Webb Simpson,167.8
Lee Westwood,168.6
Henrik Stenson,169.3
Jeff Overton,172.8
Ryo Ishikawa,173.9
Brooks Koepka,174.9
Brendon de Jonge,175
Brian Harman,175.4
Dustin Johnson,176.6
"Ted Potter, Jr.",176.8
Harris English,177.5
Tommy Gainey,178.8
Troy Merritt,180.3
Justin Rose,181.7
Andrew Svoboda,181.7
Tyrone Van Aswegen,181.8
Andrew Loupe,182
Tim Wilkinson,182.5
Marc Leishman,184
Bill Haas,185.6
Johnson Wagner,190
Seung-Yul Noh,190.2
Bo Van Pelt,191.1
Jim Furyk,191.4
Danny Lee,191.4
Bronson La'Cassie,191.8
Will MacKenzie,191.9
Camilo Villegas,195.4
Will Wilcox,195.8
Charlie Wi,196.8
Mike Weir,198.6
Russell Knox,199.8
Bubba Watson,200.3
Luke Guthrie,202.6
Chesson Hadley,202.8
Brad Fritsch,205.4
Hudson Swafford,206.8
Woody Austin,208.7
J.B. Holmes,210.7
Martin Kaymer,211.1
John Huh,212.3
Brendan Steele,212.3
David Toms,213.2
Robert Streb,214.8
Josh Teater,215.7
Ricky Barnes,215.9
Charles Howell III,216.8
Charl Schwartzel,217.2
Roberto Castro,217.3
Brian Gay,219.1
Ryan Moore,219.3
Jonathan Byrd,220.4
Martin Laird,222.8
Martin Flores,228.1
Spencer Levin,230.9
Kevin Chappell,231.2
Gary Woodland,231.3
Nick Watney,231.8
Charlie Beljan,232.2
Y.E. Yang,234.2
Gonzalo Fdez-Castano,234.8
David Lingmerth,234.8
Heath Slocum,236.5
D.H. Lee,236.8
Angel Cabrera,237.5
Jhonattan Vegas,241.6
Graham DeLaet,242.4
Robert Garrigus,242.7
Shawn Stefani,243.3
Carl Pettersson,246.6
J.J. Henry,246.9
Troy Matteson,250
Wes Roach,250.3
John Rollins,251.5
Jamie Lovemark,253.8
James Hahn,257.1
Scott Stallings,257.6
Kevin Streelman,258.7
Stewart Cink,260.3
Bud Cauley,261
D.A. Points,262.7
Davis Love III,269.3
Kevin Stadler,270
Ernie Els,272.9
Geoff Ogilvy,276.4
Robert Allenby,278.8
Ken Duke,279.1
Hideki Matsuyama,279.3
Briny Baird,280.8
Jason Dufner,285
Louis Oosthuizen,286.6
Rory Sabbatini,287.1
Jim Herman,288.7
Kevin Tway,291.3
John Merrick,292.2
Derek Ernst,292.8
Michael Putnam,295.5
Chad Campbell,307.7
Mark Wilson,309
Nicholas Thompson,310.6
Jeff Maggert,311.7
Steven Bowditch,312.8
Trevor Immelman,314.2
Vijay Singh,323.3
Jim Renner,326.3
Lucas Glover,332.4
John Peterson,336
Kyle Stanley,354.2
Boo Weekley,355.8