PLAYER,POS
Jordan Spieth,1
Phil Mickelson,2
Justin Rose,2
Rory McIlroy,4
Hideki Matsuyama,5
Paul Casey,6
Dustin Johnson,6
Ian Poulter,6
Charley Hoffman,9
Zach Johnson,9
Hunter Mahan,9
Rickie Fowler,12
Bill Haas,12
Ryan Moore,12
Kevin Na,12
Kevin Streelman,12
Sergio Garcia,17
Tiger Woods,17
Louis Oosthuizen,19
Henrik Stenson,19
Russell Henley,21
Keegan Bradley,22
Angel Cabrera,22
Ernie Els,22
Mark O'Meara,22
Patrick Reed,22
Bernd Wiesberger,22
Jonas Blixt,28
Jason Day,28
Morgan Hoffmann,28
Webb Simpson,28
Steve Stricker,28
Sangmoon Bae,33
Jamie Donaldson,33
Chris Kirk,33
Brooks Koepka,33
Ryan Palmer,33
Seung-Yul Noh,38
Charl Schwartzel,38
Adam Scott,38
John Senden,38
Cameron Tringale,38
Jimmy Walker,38
Bubba Watson,38
Danny Willett,38
Matt Kuchar,46
Lee Westwood,46
Geoff Ogilvy,48
Jason Dufner,49
Anirban Lahiri,49
Erik Compton,51
Darren Clarke,52
Graeme McDowell,52
Vijay Singh,54
Thongchai Jaidee,55
Luke Donald,56
Matt Every,57
Jim Furyk,58
Stephen Gallacher,59
James Hahn,60
J.B. Holmes,61
Mikko Ilonen,62
Bernhard Langer,63
Shane Lowry,64
Brandt Snedeker,65
Gary Woodland,66
Branden Grace,67
Brian Harman,68
Billy Horschel,69
Joost Luiten,70
Ben Martin,71
Camilo Villegas,72
Corey Conners,73
Victor Dubuisson,74
Padraig Harrington,75
Ian Woosnam,76
Sandy Lyle,77
Byron Meth,78
Jose Maria Olazabal,79
Thomas Bjorn,80
Miguel Angel Jimenez,81
Martin Kaymer,82
Larry Mize,83
Anthony Murdaca,84
Kevin Stadler,85
Brendon Todd,86
Matias Dominguez,87
Tom Watson,88
Fred Couples,89
Trevor Immelman,90
Robert Streb,91
Ben Crane,92
Scott Harvey,93
Bradley Neil,94
Gunn Yang,95
Mike Weir,96
Ben Crenshaw,97