PLAYER,STROKES GAINED PUTTING
Aaron Baddeley,0.722
Jimmy Walker,0.692
Daniel Summerhays,0.644
Lee Westwood,0.595
Brandt Snedeker,0.588
Jason Day,0.586
Brendon Todd,0.582
Russell Henley,0.579
Jordan Spieth,0.571
Harris English,0.56
Greg Chalmers,0.529
Zac Blair,0.527
Andrew Putnam,0.525
Bryce Molder,0.508
Erik Compton,0.469
Henrik Stenson,0.436
Brooks Koepka,0.421
K.J. Choi,0.415
Matt Jones,0.401
Patrick Reed,0.394
Hunter Mahan,0.39
Troy Merritt,0.384
Robert Streb,0.381
Danny Lee,0.374
Pat Perez,0.364
Hudson Swafford,0.36
David Hearn,0.358
Jamie Donaldson,0.349
Colt Knost,0.348
Steve Wheatcroft,0.345
Carl Pettersson,0.335
Will Wilcox,0.322
Matt Kuchar,0.316
Blayne Barber,0.313
Billy Hurley III,0.311
Rickie Fowler,0.309
Derek Fathauer,0.301
Scott Pinckney,0.294
Luke Donald,0.289
John Huh,0.279
Phil Mickelson,0.262
Sangmoon Bae,0.26
Jerry Kelly,0.25
Billy Horschel,0.244
Kevin Kisner,0.24
Jason Bohn,0.239
Brian Harman,0.236
Adam Hadwin,0.235
Kevin Na,0.233
Morgan Hoffmann,0.232
Justin Leonard,0.231
Ian Poulter,0.225
George McNeill,0.212
Bubba Watson,0.212
Johnson Wagner,0.203
Ben Crane,0.201
Camilo Villegas,0.195
Andres Romero,0.19
Andres Gonzales,0.177
Carlos Ortiz,0.172
Sean O'Hair,0.169
Kevin Chappell,0.168
Chesson Hadley,0.168
Ryan Moore,0.16
Ricky Barnes,0.159
Michael Thompson,0.153
Eric Axley,0.15
Ryan Palmer,0.147
Steven Bowditch,0.144
Jonathan Randolph,0.132
Dustin Johnson,0.128
Ben Martin,0.127
Cameron Tringale,0.125
Jonas Blixt,0.122
Bo Van Pelt,0.118
Brian Stuard,0.116
Nick Taylor,0.112
Luke Guthrie,0.11
Jeff Overton,0.105
Stewart Cink,0.102
Martin Laird,0.1
Jhonattan Vegas,0.086
Jonathan Byrd,0.084
Brian Davis,0.081
Gary Woodland,0.077
Hideki Matsuyama,0.076
Matt Every,0.075
Shawn Stefani,0.074
Seung-Yul Noh,0.066
Charley Hoffman,0.065
Chris Kirk,0.065
Fabian Gomez,0.062
William McGirt,0.06
James Hahn,0.048
Justin Thomas,0.042
Zach Johnson,0.04
David Lingmerth,0.039
Kyle Reifers,0.036
Retief Goosen,0.027
Justin Rose,0.023
Scott Langley,0.018
Paul Casey,0.014
Chad Collins,0.012
Scott Piercy,0.006
Tom Hoge,0.005
Patrick Rodgers,-0.003
J.B. Holmes,-0.004
Tony Finau,-0.006
Brendon de Jonge,-0.007
Graham DeLaet,-0.012
Jason Kokrak,-0.012
Marc Leishman,-0.02
Russell Knox,-0.021
Sergio Garcia,-0.022
Jim Furyk,-0.024
Andrew Svoboda,-0.026
Jon Curran,-0.028
Jim Herman,-0.03
Scott Brown,-0.031
Chad Campbell,-0.045
Brendan Steele,-0.047
D.A. Points,-0.054
Alex Prugh,-0.055
John Senden,-0.061
Spencer Levin,-0.065
Mark Wilson,-0.065
Jason Gore,-0.067
Keegan Bradley,-0.07
Brice Garnett,-0.089
Whee Kim,-0.093
Mark Hubbard,-0.102
David Toms,-0.102
Ryo Ishikawa,-0.103
Rory Sabbatini,-0.106
Max Homa,-0.11
Sam Saunders,-0.136
Cameron Percy,-0.142
Steven Alker,-0.146
Tyrone Van Aswegen,-0.152
Chris Stroud,-0.176
John Peterson,-0.184
Daniel Berger,-0.193
Martin Flores,-0.216
Charles Howell III,-0.216
Kevin Streelman,-0.219
Louis Oosthuizen,-0.22
Ken Duke,-0.222
Bill Haas,-0.229
Alex Cejka,-0.232
Boo Weekley,-0.246
Francesco Molinari,-0.255
Chez Reavie,-0.262
Tim Wilkinson,-0.278
Oscar Fraustro,-0.283
Davis Love III,-0.347
Scott Stallings,-0.392
Adam Scott,-0.396
Nick Watney,-0.403
J.J. Henry,-0.414
S.J. Park,-0.421
Padraig Harrington,-0.493
Nicholas Thompson,-0.493
Roger Sloan,-0.502
Vijay Singh,-0.511
Derek Ernst,-0.516
Bill Lunde,-0.52
Gonzalo Fdez-Castano,-0.522
Michael Putnam,-0.526
Charl Schwartzel,-0.555
Angel Cabrera,-0.572
Heath Slocum,-0.594
Byron Smith,-0.597
Ernie Els,-0.609
Webb Simpson,-0.646
Geoff Ogilvy,-0.692
Robert Garrigus,-0.697
Jason Dufner,-0.7
Roberto Castro,-0.732
Robert Allenby,-0.754
John Merrick,-0.775
Greg Owen,-0.798
Charlie Beljan,-0.799
Jim Renner,-0.995
Lucas Glover,-1.351