PLAYER,GOING FOR THE GREEN %
Rory McIlroy,81.82
Sergio Garcia,80
Justin Rose,78.57
Bubba Watson,78.35
Rickie Fowler,75.68
Tony Finau,75.14
Adam Scott,72.65
Jhonattan Vegas,72.04
Jason Day,71.3
Gary Woodland,71.17
Luke List,70.99
Andrew Loupe,70.49
Jimmy Walker,70.19
Patrick Rodgers,69.49
J.B. Holmes,68.28
Dustin Johnson,68.03
Brooks Koepka,67.79
Henrik Stenson,67.44
Smylie Kaufman,67.22
Phil Mickelson,66.94
Hideki Matsuyama,66.41
Ryan Palmer,65.97
Sean O'Hair,65.76
Jason Kokrak,65.36
Si Woo Kim,64.98
Paul Casey,64.49
Jamie Lovemark,64.45
Scott Piercy,64.19
Matt Jones,62.12
Rory Sabbatini,62.11
Harold Varner III,61.5
Daniel Berger,61.35
Andy Sullivan,61.19
Justin Thomas,61.11
Anirban Lahiri,60.47
Robert Garrigus,60.36
Angel Cabrera,60.28
Marc Leishman,59.84
Jordan Spieth,59.84
Greg Owen,59.68
Brendan Steele,59.65
Danny Lee,59.59
Scott Pinckney,59.2
Emiliano Grillo,59.15
Patrick Reed,59.04
Kevin Kisner,59.03
Keegan Bradley,58.96
Graham DeLaet,58.89
Webb Simpson,58.62
Hudson Swafford,58.56
Fabian Gomez,58.42
Charl Schwartzel,58.1
Adam Hadwin,57.78
Carlos Ortiz,57.62
Daniel Summerhays,57.44
Will Wilcox,57.22
Charles Howell III,57.21
Kevin Chappell,56.76
Ernie Els,56.72
Bronson Burgoon,56.71
Billy Horschel,56.29
Boo Weekley,55.9
Vijay Singh,55.7
Lucas Glover,55.67
Jonas Blixt,55.25
Charley Hoffman,55
Scott Stallings,54.91
Harris English,54.88
Sung Kang,54.8
Brandt Snedeker,54.76
Morgan Hoffmann,54.55
Jason Dufner,54.38
Chad Campbell,54.31
Stewart Cink,54.24
Pat Perez,54.1
Sam Saunders,54.08
Padraig Harrington,53.52
Ben Martin,53.33
Nick Taylor,53.27
Jim Herman,53.16
Rhein Gibson,52.99
Whee Kim,52.81
Graeme McDowell,52.43
Martin Laird,52.35
William McGirt,52.05
Troy Merritt,51.75
Ian Poulter,51.75
Brett Stegmaier,51.71
David Lingmerth,51.66
Shane Lowry,51.61
Bill Haas,51.05
Jeff Overton,51.04
Derek Ernst,50.96
Davis Love III,50.75
Hiroshi Iwata,50.68
Steve Wheatcroft,50.55
Russell Henley,50.33
Charlie Beljan,50
Alex Cejka,50
Chesson Hadley,50
Patton Kizzire,50
Hunter Mahan,50
Kyle Reifers,49.56
Chez Reavie,49.5
Branden Grace,49.45
John Senden,49.44
Francesco Molinari,49.32
Louis Oosthuizen,49.28
Steve Marino,49.17
Johnson Wagner,49.14
James Hahn,48.95
Matt Every,48.89
Derek Fathauer,48.6
Dawie van der Walt,48.57
Bernd Wiesberger,48.44
Tyrone Van Aswegen,48.42
Brendon de Jonge,48.21
Andres Gonzales,48.1
Matt Kuchar,48.1
Robert Streb,47.89
Erik Compton,47.83
Steven Bowditch,47.65
John Huh,47.57
Roberto Castro,47.5
Tom Hoge,47.5
Kevin Streelman,47.4
Mark Hubbard,47.39
Russell Knox,47.37
Aaron Baddeley,47.13
Luke Guthrie,47.06
Seung-Yul Noh,46.96
Retief Goosen,46.15
Scott Brown,45.91
Brian Harman,45.91
Scott Langley,45.89
Kevin Na,45.89
Henrik Norlander,45.67
Shawn Stefani,45.66
Chris Stroud,45.36
Chris Kirk,45.35
Jamie Donaldson,45.12
Jason Bohn,45.11
Camilo Villegas,45.05
Wes Roach,45
Blayne Barber,44.03
Geoff Ogilvy,43.55
Ricky Barnes,43.28
Michael Thompson,43.18
Thomas Aiken,41.67
Kyle Stanley,41.67
J.J. Henry,41.29
Chad Collins,41.21
George McNeill,41.18
Cameron Tringale,40.72
Freddie Jacobson,40.66
Michael Kim,40.45
Ryan Moore,40.34
Jason Gore,39.88
Brice Garnett,39.73
Spencer Levin,39.51
Zach Johnson,39.08
Andrew Landry,39.06
Will MacKenzie,39.05
Zac Blair,38.71
Kelly Kraft,38.61
Tyler Aldridge,38.51
Martin Piller,37.98
Jerry Kelly,37.04
Ben Crane,35.12
Brendon Todd,35.1
D.A. Points,35.05
Bryce Molder,34.83
Rob Oppenheim,34.13
Billy Hurley III,34.12
Luke Donald,34.06
Stuart Appleby,33.78
Shane Bertsch,33.78
Ken Duke,33.33
Carl Pettersson,32.84
Robert Allenby,32.67
Peter Malnati,32.65
David Hearn,32.26
D.H. Lee,32.11
Vaughn Taylor,31.15
Cameron Smith,30.91
Justin Hicks,30.77
Abraham Ancer,28.92
Mark Wilson,28.66
Tim Herron,28.21
Colt Knost,27.64
Brian Stuard,27.59
K.J. Choi,27.01
Tim Wilkinson,25.95
Dicky Pride,25.74
Steve Stricker,23.86
Jon Curran,23.28
David Toms,14.47
Justin Leonard,12.9
Darron Stiles,7.46